Samsung Experience,"Time Warner Building, Columbus Circle",New York,NY,10019,Event Space,40.768735,-73.982938
Silvercup Studios Main Lot,42-22 22nd Street,Long Island City,NY,11101,Event Space,40.757687,-73.9374101
Kaufman Astoria Studios,34-12 36th Street,Astoria,NY,11106,Event Space,40.7572421,-73.9238686
New Worlds Stages,340 West 50th St,New York,NY,10019,Public Space,40.7629,-73.9875096
Slate,54 West 21st St,New York,NY,10010,Restaurant,40.741315,-73.992367
Steiner Studios,15 Washington Ave,Brooklyn,NY,11205,Conference Center,40.6980502,-73.968244
300 New York,Pier 60 - West 23rd Street,New York,NY,10011,Event Space,40.7464911,-74.001358
Coffee House,20 W. 44th St,New York,NY,10010,Event Space,40.7553672,-73.9813522
Sheraton Brooklyn New York,228 Duffield Street,Brooklyn,NY,11201,Conference Center,40.6913687,-73.9844788
Brooklyn Business Library,280 Cadman Plaza West,Brooklyn,NY,11201,Public Space,40.6956656,-73.9911607
Jackson Heights Library,35-51 81st St.,Jackson Heights,NY,11372,Public Space,40.750176,-73.885034
Bulova Corporate Conference Center,75-20 Astoria Boulevard,Jackson Heights,NY,11370,Conference Center,40.764071,-73.89336
Terrace on the Park,52-11 111th St,Queens,NY,11368,Restaurant,40.7441145,-73.8517452
LaGuardia Marriott,102-05 Ditmars Blvd.,East Elmhurst,NY,11369,Conference Center,40.768472,-73.867543
MCU Park,1904 Surf Ave,Brooklyn,NY,11224,Public Space,40.575068,-73.984594
NYC Seminar and Conference Center,71 West 23rd Street,New York,NY,10010,Conference Center,40.742659,-73.9921901
Downtown Conference Center at Pace University,157 William St.,New York,NY,10038,Conference Center,40.7100931,-74.0058809
Desmond Tutu Center,180 10th Ave,New York,NY,10011,Conference Center,40.7462767,-74.0051995
The Foundry,42-38 Ninth Street,Long Island City,NY,11101,Event Space,40.7531463,-73.9493081
Con Ed Learning Center,43- 82 Vernon Blvd,Long Island City,NY,11101,Conference Center,40.751504,-73.951845
LICBDC,"27-01 Queens Plaza North, 9th Floor",Long Island City,NY,11101,Conference Center,40.750508,-73.938911
Panera Bread,23-58 Bell Blvd,Bayside,NY,11360,Restaurant,40.7637013,-73.7710562
Cue Bar,45-18 Bell Blvd,Bayside,NY,11360,Restaurant,40.75972,-73.769412
Master Billliards,39-01 Queens Blvd,Long Island City,NY,11104,Event Space,40.7443142,-73.9259479
Watersedge Restaurant,44th Drive at East River,Long Island City,NY,11101,Restaurant,40.7457618,-73.9420433
Riverview Restaurant,2-01 50th Avenue,Long Island City,NY,11101,Restaurant,40.7436998,-73.9585232
Plaxall Building,5-46 46th Avenue,Long Island City,NY,11101,Event Space,40.7471852,-73.9543686
Douglaston Manor,63-20 Commonwealth Blvd,Douglaston,NY,11362,Event Space,40.7543983,-73.7284273
Bayside Historical Society,208 Totten Avenue,Bayside,NY,11359,Event Space,40.7926702,-73.7798592
Sheraton LaGuardia East,135-20 39th Avenue,Flushing,NY,11354,Conference Center,40.7597535,-73.8316994
Queens College,65-30 Kissena Blvd,Flushing,NY,11367,Public Space,40.7362668,-73.8161302
Queensboro Community College,222-05 56th Avenue,Bayside,NY,11364,Public Space,40.7524235,-73.7594161
LaGuardia Community College,31-10 Thomson Avenue,Long Island City,NY,11101,Public Space,40.743951,-73.935154
York Community College,94 - 20 Guy R. Brewer Blvd,Jamaica,NY,11451,Public Space,40.7022966,-73.7960148
